Time,data
1623228546.2458754,"Okay, you disagree, then you don't think it is a good connection.Now, make a guess! What do you think I will do now?"
1623228614.3686996,Great to see that you agree.Now it is your turn: Make a guess! What do you think I will do now?
1623228667.684179,Great to see that you agree.Now it is your turn: Make a guess! What do you think I will do now?
1623228718.6830544,"Okay, you disagree, then you don't think it is a good connection.Now, make a guess! What do you think I will do now?"
1623229058.4223585,"Okay, you don't think so. Please guess: What do you think I will do now?"
1623230149.6799936,Great to see that you agree.Now it is your turn: Make a guess! What do you think I will do now?
1623230209.158836,Great to see that you agree.Now it is your turn: Make a guess! What do you think I will do now?
1623230562.4682162,"Okay, you don't think so. Please guess: What do you think I will do now?"
1623230821.1856575,Great to see that you agree.Now it is your turn: Make a guess! What do you think I will do now?
1623230870.553903,"Okay, you disagree, then you don't think it is a good connection.Now, make a guess! What do you think I will do now?"
