Time,data
1623235735.3611047,"Hello! My name is Q.T., and here is my friend Utku. Let's start when you are ready!"
1623235749.4241495,"Look at this! This is a map of Switzerland. You see many mountains, and in all of  the mountains there is gold! You also see buildings, but they are not important."
1623235766.4532983,"In this game, we have to build a railway network to help the miners go from any mine to any other. Our goal is to spend as little money as possible to build the railways."
1623235781.7065792,"Before we play together, let's see how to interact with the game. You see here two gold mines, with a possible connection between them, shown as a gray track."
1623235796.7630804,"Let's connect these two gold mines to each other, so that the miners can travel between them. For this, click on one mine, and go to the other without releasing!"
1623235816.825192,"This railway costs 3 francs! In this game we consider the costs of the tracks: every time we build a track, it costs something. We want to spend as little as we can."
1623235835.8551142,"Now, imagine you want to remove the connections and start connecting again from  scratch. For this, you can press the eraser button on the right. Try it!"
1623235852.8921378,"Now, there is no connection between the mountains: miners can't go between them. Let's connect again, and when you are done, propose your connection by pressing the submit button!"
1623235876.4754345,Perfect! You got a hold of it. We can begin!
1623235886.2525322,"Now, let’s start the game! Go ahead and connect the gold mines to each other so that miners can go from any mine to any other by some path."
1623235900.2414644,"Try to spend as little as possible to build the tracks. Please give it a try by yourself, later, we will do it together!"
1623236020.600585,"Okay, so, let's try to connect these different gold mines to help the miners go between them. Try to spend as few francs as you can. Give it a try!"
1623236075.5050783,"So you are done with the second one. What about these gold mines? Let's connect  them as cheaply as possible, while miners can travel between them. Go ahead!"
1623236148.7966719,"Okay, let's try for this one now. Please connect them while spending as little as possible. There is only one more to go before we do it together. Good luck!"
1623236188.5290134,"So, for this final time, please connect these different mines as cheaply as you can, by yourself. Then, we will play together!"
1623236224.4599648,"Now, we do it together! We need to connect the mines, so that miners can travel from any mine to any other. Our goal is to spend as few francs as possible to build tracks!"
1623236242.0030227,"We have got only four attempts to find the cheapest connection, so let's try our best! When you think it is ready to be submitted, press submit: the system will give feedback."
1623236261.076829,"Let's start from Basel. Shall we go to Bern? Now, it is your turn. If you think we should connect them, agree with me by pressing the check. Otherwise, disagree with the cross!"
1623236284.331532,"Great, you agree. Then, what should we pick next? Go ahead and suggest the connection we should pick, by clicking on a mine and dragging to another."
1623236306.4454107,"Then, you think we should go from Interlaken to Zermatt."
1623236315.937857,"Okay, I think it is a good one too!"
1623236324.685603,"Then, shall we go from Zermatt to Montreux?"
1623236335.9839475,Great to see that you agree. Now it is your turn: Make a guess! What do you think I will do now?
1623236352.9473052,"I see, you think I would connect Montreux to Neuchatel."
1623236362.2418685,"Okay, I think it is a good one too!"
1623236370.964407,"Then, shall we go from Neuchatel to Interlaken?"
1623236388.7757843,"Okay, you disagree, then you don't think it is a good connection. Now, make a guess! What do you think I will do now?"
1623236406.5918422,"I see, you think I would connect Zurich to Luzern."
1623236416.1157832,"Definitely, that's a good choice!"
